Country,Wave 3,Wave 4,Wave 5,Wave 6
Algeria,0,0,1204,1200
,,,0.906,0.81
Benin,1198,1200,1200,1200
,,,0.623,0.757
Botswana,1200,1200,1200,1200
,,,0.72,0.767
Burkina Faso,0,1200,1200,1200
,,,0.646,0.817
Burundi,0,0,1200,1200
,,,0.698,0.793
Cameroon,0,0,1200,1182
,,,0.618,0.778
Cape Verde,1256,1264,1208,1200
,,,0.942,0.768
Cote d'Ivoire,0,0,1200,1199
,,,0.709,0.719
Egypt,0,0,1190,1198
,,,0.716,0.656
Gabon,0,0,0,1198
,,,,0.607
Ghana,1197,1200,2400,2400
,,,0.729,0.787
Guinea,0,0,1200,1200
,,,0.808,0.923
Kenya,1278,1104,2399,2397
,,,0.734,0.824
Lesotho,1161,1200,1197,1200
,,,0.87,0.726
Liberia,0,1200,1199,1199
,,,0.937,0.895
Madagascar,1350,1350,1200,1200
,,,0.969,0.881
Malawi,1200,1200,2407,2400
,,,0.894,0.942
Mali,1244,1232,1200,1200
,,,0.831,0.744
Mauritius,0,0,1200,1200
,,,0.861,0.679
Morocco,0,0,1196,1200
,,,0.828,0.383
Mozambique,1198,1200,2400,2400
,,,0.722,0.865
Namibia,1200,1200,1200,1200
,,,0.743,0.638
Niger,0,0,1199,1200
,,,0.881,0.879
Nigeria,2363,2324,2400,2400
,,,0.899,0.695
Sao Tome and Principe,0,0,0,1196
,,,,0.888
Senegal,1200,1200,1200,1200
,,,0.808,0.799
Sierra Leone,0,0,1190,1191
,,,,1
South Africa,2400,2400,2399,2390
,,,0.594,0.637
Sudan,0,0,1199,1200
,,,0.997,0.957
Swaziland,0,0,1200,1200
,,,0.593,0.655
Tanzania,1304,1208,2400,2386
,,,0.855,0.746
Togo,0,0,1200,1200
,,,0.704,0.618
Tunisia,0,0,1200,1200
,,,0.43,0.295
Uganda,2400,2431,2400,2400
,,,0.865,0.841
Zambia,1200,1200,1200,1199
,,,0.749,0.994
Zimbabwe,1048,1200,2400,2400
,,,0.751,0.769
Average,,,0.776666667,0.764777778